title,bathrooms,bedrooms,price,square_meters,cityname,state,latitude,longitude,source,luxury
"Studio apartment 2nd St NE, Uhland Terrace NE, Washington, DC 20002",1.0,0.0,790,9.393,Washington,DC,38.9057,-76.9861,RentLingo,0
Studio apartment 814 Schutte Road,1.0,1.0,425,9.858,Evansville,IN,37.968,-87.6621,RentLingo,0
"Studio apartment N Scott St, 14th St N, Arlington, VA 22209",1.0,0.0,1390,9.951,Arlington,VA,38.891,-77.0816,RentLingo,0
Studio apartment 1717 12th Ave,1.0,0.0,925,10.788,Seattle,WA,47.616,-122.3275,RentLingo,0
"Studio apartment Washington Blvd, N Cleveland St, Arlington",1.0,0.0,880,11.625,Arlington,VA,38.8738,-77.1055,RentLingo,0
0 BR in New York NY 10019,1.0,0.0,2475,12.09,Manhattan,NY,40.7629,-73.9885,Listanza,1
Studio apartment 2432 Penmar Ave,1.0,0.0,1800,12.276,Venice,CA,33.9932,-118.4609,RentLingo,0
"Studio apartment Oak St NW, 16th St NW, Washington, DC 20010",1.0,0.0,840,12.648,Washington,DC,38.9328,-77.0297,RentLingo,0
Studio apartment 333 Hyde St,1.0,0.0,1495,12.834,San Francisco,CA,37.7599,-122.4379,RentLingo,0
"Studio apartment A St SE, 19th St SE, Washington",1.0,0.0,890,13.113,Washington,DC,38.9118,-77.0132,RentLingo,0
"Studio apartment 15th St SE, Independence Ave SE, Washington DC",1.0,0.0,990,13.578,Washington,DC,38.9118,-77.0132,RentLingo,0
"Studio apartment Arkansas Ave NW, Varnum St NW, Washington",1.0,0.0,840,13.95,Washington,DC,38.9118,-77.0132,RentLingo,0
Studio apartment 2326 N 6th Avenue,1.0,1.0,1795,14.508,Tucson,AZ,32.2264,-110.9438,RentLingo,0
"Studio apartment Salem Ln NW, 45th St NW, Washington",1.0,0.0,1090,16.554,Washington,DC,38.9118,-77.0132,RentLingo,0
Studio apartment 57 Taylor Street,1.0,0.0,1695,17.669999999999998,San Francisco,CA,37.7599,-122.4379,RentLingo,0
Studio Cottage 214,1.0,1.0,1560,18.6,New Bern,NC,35.0847,-77.0609,ListedBuy,1
Studio Cottage 214,1.0,1.0,1560,18.6,New Bern,NC,35.096,-77.0272,RentDigs.com,1
One BR Spring Ridge Dr,1.0,1.0,1000,18.6,Spring,TX,30.0871,-95.4685,RentLingo,0
Studio apartment 545 Georgia street 717-723 Sutter Street,1.0,1.0,950,18.6,Vallejo,CA,38.1172,-122.2313,RentLingo,0
